Type,Class,Month,Year,Price
Carabao,Class A,January,2014,90
Carabao,Class A,February,2014,70
Carabao,Class A,March,2014,70
Carabao,Class A,April,2014,70
Carabao,Class A,May,2014,70
Carabao,Class A,June,2014,80
Carabao,Class A,July,2014,100
Carabao,Class A,August,2014,100
Carabao,Class A,September,2014,100
Carabao,Class A,October,2014,120
Carabao,Class A,November,2014,100
Carabao,Class A,December,2014,100
Carabao,Class A,January,2015,100
Carabao,Class A,February,2015,100
Carabao,Class A,March,2015,100
Carabao,Class A,April,2015,80
Carabao,Class A,May,2015,70
Carabao,Class A,June,2015,50
Carabao,Class A,July,2015,70
Carabao,Class A,August,2015,120
Carabao,Class A,September,2015,120
Carabao,Class A,October,2015,150
Carabao,Class A,November,2015,120
Carabao,Class A,December,2015,120
Carabao,Class A,January,2016,180
Carabao,Class A,February,2016,120
Carabao,Class A,March,2016,120
Carabao,Class A,April,2016,120
Carabao,Class A,May,2016,90
Carabao,Class A,June,2016,90
Carabao,Class A,July,2016,100
Carabao,Class A,August,2016,150
Carabao,Class A,September,2016,180
Carabao,Class A,October,2016,200
Carabao,Class A,November,2016,200
Carabao,Class A,December,2016,180
Carabao,Class A,January,2017,180
Carabao,Class A,February,2017,100
Carabao,Class A,March,2017,160
Carabao,Class A,April,2017,120
Carabao,Class A,May,2017,135
Carabao,Class A,June,2017,90
Carabao,Class A,July,2017,120
Carabao,Class A,August,2017,120
Carabao,Class A,September,2017,150
Carabao,Class A,October,2017,140
Carabao,Class A,November,2017,180
Carabao,Class A,December,2017,180
Carabao,Class A,January,2018,200
Carabao,Class A,February,2018,200
Carabao,Class A,March,2018,200
Carabao,Class A,April,2018,120
Carabao,Class A,May,2018,120
Carabao,Class A,June,2018,110
Carabao,Class A,July,2018,110
Carabao,Class A,August,2018,110
Carabao,Class A,September,2018,110
Carabao,Class A,October,2018,160
Carabao,Class A,November,2018,180
Carabao,Class A,December,2018,160
Carabao,Class A,January,2019,160
Carabao,Class A,February,2019,140
Carabao,Class A,March,2019,130
Carabao,Class A,April,2019,140
Carabao,Class A,May,2019,120
Carabao,Class A,June,2019,100
Carabao,Class A,July,2019,240
Carabao,Class A,August,2019,240
Carabao,Class A,September,2019,250
Carabao,Class A,October,2019,200
Carabao,Class A,November,2019,200
Carabao,Class A,December,2019,160
Carabao,Class A,January,2020,160
Carabao,Class A,February,2020,150
Carabao,Class A,March,2020,160
Carabao,Class A,April,2020,160
Carabao,Class A,May,2020,160
Carabao,Class A,June,2020,120
Carabao,Class A,July,2020,140
Carabao,Class A,August,2020,155
Carabao,Class A,September,2020,180
Carabao,Class A,October,2020,180
Carabao,Class A,November,2020,150
Carabao,Class A,December,2020,200
Carabao,Class A,January,2021,300
Carabao,Class A,February,2021,200
Carabao,Class A,March,2021,170
Carabao,Class A,April,2021,155
Carabao,Class A,May,2021,160
Carabao,Class A,June,2021,140
Carabao,Class A,July,2021,160
Carabao,Class A,August,2021,180
Carabao,Class A,September,2021,180
Carabao,Class A,October,2021,180
Carabao,Class A,November,2021,200
Carabao,Class A,December,2021,180
Carabao,Class A,January,2022,180
Carabao,Class A,February,2022,180
Carabao,Class A,March,2022,150
Carabao,Class A,April,2022,140
Carabao,Class A,May,2022,130
Carabao,Class A,June,2022,180
Carabao,Class A,July,2022,200
Carabao,Class A,August,2022,220
Carabao,Class A,September,2022,220
Carabao,Class A,October,2022,220
Carabao,Class A,November,2022,180
Carabao,Class A,December,2022,180
Carabao,Class A,January,2023,180
Carabao,Class A,February,2023,180
Carabao,Class A,March,2023,200
Carabao,Class A,April,2023,180
Carabao,Class A,May,2023,170
Carabao,Class A,June,2023,160
Carabao,Class A,July,2023,200
Carabao,Class A,August,2023,160
Carabao,Class A,September,2023,280
Carabao,Class A,October,2023,280
Carabao,Class A,November,2023,200
Carabao,Class A,December,2023,200
Carabao,Class A,January,2024,200
Carabao,Class A,February,2024,180
Carabao,Class A,March,2024,180
Carabao,Class A,April,2024,150
Carabao,Class A,May,2024,120
Carabao,Class B,January,2014,85
Carabao,Class B,February,2014,70
Carabao,Class B,March,2014,70
Carabao,Class B,April,2014,70
Carabao,Class B,May,2014,67.5
Carabao,Class B,June,2014,75
Carabao,Class B,July,2014,95
Carabao,Class B,August,2014,100
Carabao,Class B,September,2014,100
Carabao,Class B,October,2014,115
Carabao,Class B,November,2014,100
Carabao,Class B,December,2014,100
Carabao,Class B,January,2015,97.5
Carabao,Class B,February,2015,97.5
Carabao,Class B,March,2015,97.5
Carabao,Class B,April,2015,77.5
Carabao,Class B,May,2015,65
Carabao,Class B,June,2015,50
Carabao,Class B,July,2015,65
Carabao,Class B,August,2015,110
Carabao,Class B,September,2015,120
Carabao,Class B,October,2015,142.5
Carabao,Class B,November,2015,120
Carabao,Class B,December,2015,120
Carabao,Class B,January,2016,165
Carabao,Class B,February,2016,110
Carabao,Class B,March,2016,112.5
Carabao,Class B,April,2016,112.5
Carabao,Class B,May,2016,87.5
Carabao,Class B,June,2016,87.5
Carabao,Class B,July,2016,97.5
Carabao,Class B,August,2016,142.5
Carabao,Class B,September,2016,172.5
Carabao,Class B,October,2016,195
Carabao,Class B,November,2016,180
Carabao,Class B,December,2016,165
Carabao,Class B,January,2017,157.5
Carabao,Class B,February,2017,100
Carabao,Class B,March,2017,145
Carabao,Class B,April,2017,115
Carabao,Class B,May,2017,125
Carabao,Class B,June,2017,90
Carabao,Class B,July,2017,113.75
Carabao,Class B,August,2017,120
Carabao,Class B,September,2017,142.5
Carabao,Class B,October,2017,135
Carabao,Class B,November,2017,165
Carabao,Class B,December,2017,170
Carabao,Class B,January,2018,190
Carabao,Class B,February,2018,190
Carabao,Class B,March,2018,190
Carabao,Class B,April,2018,120
Carabao,Class B,May,2018,120
Carabao,Class B,June,2018,107.5
Carabao,Class B,July,2018,107.5
Carabao,Class B,August,2018,107.5
Carabao,Class B,September,2018,107.5
Carabao,Class B,October,2018,152.5
Carabao,Class B,November,2018,172.5
Carabao,Class B,December,2018,152.5
Carabao,Class B,January,2019,150
Carabao,Class B,February,2019,135
Carabao,Class B,March,2019,127.5
Carabao,Class B,April,2019,135
Carabao,Class B,May,2019,115
Carabao,Class B,June,2019,95
Carabao,Class B,July,2019,205
Carabao,Class B,August,2019,222.5
Carabao,Class B,September,2019,237.5
Carabao,Class B,October,2019,187.5
Carabao,Class B,November,2019,192.5
Carabao,Class B,December,2019,157.5
Carabao,Class B,January,2020,157.5
Carabao,Class B,February,2020,150
Carabao,Class B,March,2020,157.5
Carabao,Class B,April,2020,160
Carabao,Class B,May,2020,156.25
Carabao,Class B,June,2020,115
Carabao,Class B,July,2020,137.5
Carabao,Class B,August,2020,151.25
Carabao,Class B,September,2020,172.5
Carabao,Class B,October,2020,172.5
Carabao,Class B,November,2020,150
Carabao,Class B,December,2020,187.5
Carabao,Class B,January,2021,275
Carabao,Class B,February,2021,190
Carabao,Class B,March,2021,165
Carabao,Class B,April,2021,153.75
Carabao,Class B,May,2021,155
Carabao,Class B,June,2021,130
Carabao,Class B,July,2021,157.5
Carabao,Class B,August,2021,180
Carabao,Class B,September,2021,180
Carabao,Class B,October,2021,180
Carabao,Class B,November,2021,192.5
Carabao,Class B,December,2021,180
Carabao,Class B,January,2022,180
Carabao,Class B,February,2022,180
Carabao,Class B,March,2022,147.5
Carabao,Class B,April,2022,135
Carabao,Class B,May,2022,127.5
Carabao,Class B,June,2022,165
Carabao,Class B,July,2022,200
Carabao,Class B,August,2022,215
Carabao,Class B,September,2022,220
Carabao,Class B,October,2022,210
Carabao,Class B,November,2022,180
Carabao,Class B,December,2022,180
Carabao,Class B,January,2023,180
Carabao,Class B,February,2023,180
Carabao,Class B,March,2023,195
Carabao,Class B,April,2023,180
Carabao,Class B,May,2023,165
Carabao,Class B,June,2023,157.5
Carabao,Class B,July,2023,190
Carabao,Class B,August,2023,157.5
Carabao,Class B,September,2023,280
Carabao,Class B,October,2023,257.5
Carabao,Class B,November,2023,195
Carabao,Class B,December,2023,195
Carabao,Class B,January,2024,195
Carabao,Class B,February,2024,180
Carabao,Class B,March,2024,172.5
Carabao,Class B,April,2024,150
Carabao,Class B,May,2024,115
Carabao,Class C,January,2014,80
Carabao,Class C,February,2014,70
Carabao,Class C,March,2014,70
Carabao,Class C,April,2014,70
Carabao,Class C,May,2014,65
Carabao,Class C,June,2014,70
Carabao,Class C,July,2014,90
Carabao,Class C,August,2014,100
Carabao,Class C,September,2014,100
Carabao,Class C,October,2014,110
Carabao,Class C,November,2014,100
Carabao,Class C,December,2014,100
Carabao,Class C,January,2015,95
Carabao,Class C,February,2015,95
Carabao,Class C,March,2015,95
Carabao,Class C,April,2015,75
Carabao,Class C,May,2015,60
Carabao,Class C,June,2015,50
Carabao,Class C,July,2015,60
Carabao,Class C,August,2015,100
Carabao,Class C,September,2015,120
Carabao,Class C,October,2015,135
Carabao,Class C,November,2015,120
Carabao,Class C,December,2015,120
Carabao,Class C,January,2016,150
Carabao,Class C,February,2016,100
Carabao,Class C,March,2016,105
Carabao,Class C,April,2016,105
Carabao,Class C,May,2016,85
Carabao,Class C,June,2016,85
Carabao,Class C,July,2016,95
Carabao,Class C,August,2016,135
Carabao,Class C,September,2016,165
Carabao,Class C,October,2016,190
Carabao,Class C,November,2016,160
Carabao,Class C,December,2016,150
Carabao,Class C,January,2017,135
Carabao,Class C,February,2017,100
Carabao,Class C,March,2017,130
Carabao,Class C,April,2017,110
Carabao,Class C,May,2017,115
Carabao,Class C,June,2017,90
Carabao,Class C,July,2017,107.5
Carabao,Class C,August,2017,120
Carabao,Class C,September,2017,135
Carabao,Class C,October,2017,130
Carabao,Class C,November,2017,150
Carabao,Class C,December,2017,160
Carabao,Class C,January,2018,180
Carabao,Class C,February,2018,180
Carabao,Class C,March,2018,180
Carabao,Class C,April,2018,120
Carabao,Class C,May,2018,120
Carabao,Class C,June,2018,105
Carabao,Class C,July,2018,105
Carabao,Class C,August,2018,105
Carabao,Class C,September,2018,105
Carabao,Class C,October,2018,145
Carabao,Class C,November,2018,165
Carabao,Class C,December,2018,145
Carabao,Class C,January,2019,140
Carabao,Class C,February,2019,130
Carabao,Class C,March,2019,125
Carabao,Class C,April,2019,130
Carabao,Class C,May,2019,110
Carabao,Class C,June,2019,90
Carabao,Class C,July,2019,170
Carabao,Class C,August,2019,205
Carabao,Class C,September,2019,225
Carabao,Class C,October,2019,175
Carabao,Class C,November,2019,185
Carabao,Class C,December,2019,155
Carabao,Class C,January,2020,155
Carabao,Class C,February,2020,150
Carabao,Class C,March,2020,155
Carabao,Class C,April,2020,160
Carabao,Class C,May,2020,152.5
Carabao,Class C,June,2020,110
Carabao,Class C,July,2020,135
Carabao,Class C,August,2020,147.5
Carabao,Class C,September,2020,165
Carabao,Class C,October,2020,165
Carabao,Class C,November,2020,150
Carabao,Class C,December,2020,175
Carabao,Class C,January,2021,250
Carabao,Class C,February,2021,180
Carabao,Class C,March,2021,160
Carabao,Class C,April,2021,152.5
Carabao,Class C,May,2021,150
Carabao,Class C,June,2021,120
Carabao,Class C,July,2021,155
Carabao,Class C,August,2021,180
Carabao,Class C,September,2021,180
Carabao,Class C,October,2021,180
Carabao,Class C,November,2021,185
Carabao,Class C,December,2021,180
Carabao,Class C,January,2022,180
Carabao,Class C,February,2022,180
Carabao,Class C,March,2022,145
Carabao,Class C,April,2022,130
Carabao,Class C,May,2022,125
Carabao,Class C,June,2022,150
Carabao,Class C,July,2022,200
Carabao,Class C,August,2022,210
Carabao,Class C,September,2022,220
Carabao,Class C,October,2022,200
Carabao,Class C,November,2022,180
Carabao,Class C,December,2022,180
Carabao,Class C,January,2023,180
Carabao,Class C,February,2023,180
Carabao,Class C,March,2023,190
Carabao,Class C,April,2023,180
Carabao,Class C,May,2023,160
Carabao,Class C,June,2023,155
Carabao,Class C,July,2023,180
Carabao,Class C,August,2023,155
Carabao,Class C,September,2023,280
Carabao,Class C,October,2023,235
Carabao,Class C,November,2023,190
Carabao,Class C,December,2023,190
Carabao,Class C,January,2024,190
Carabao,Class C,February,2024,180
Carabao,Class C,March,2024,165
Carabao,Class C,April,2024,150
Carabao,Class C,May,2024,110
Carabao,Class D,January,2014,75
Carabao,Class D,February,2014,70
Carabao,Class D,March,2014,70
Carabao,Class D,April,2014,70
Carabao,Class D,May,2014,62.5
Carabao,Class D,June,2014,65
Carabao,Class D,July,2014,85
Carabao,Class D,August,2014,100
Carabao,Class D,September,2014,100
Carabao,Class D,October,2014,105
Carabao,Class D,November,2014,100
Carabao,Class D,December,2014,100
Carabao,Class D,January,2015,92.5
Carabao,Class D,February,2015,92.5
Carabao,Class D,March,2015,92.5
Carabao,Class D,April,2015,72.5
Carabao,Class D,May,2015,55
Carabao,Class D,June,2015,50
Carabao,Class D,July,2015,55
Carabao,Class D,August,2015,90
Carabao,Class D,September,2015,120
Carabao,Class D,October,2015,127.5
Carabao,Class D,November,2015,120
Carabao,Class D,December,2015,120
Carabao,Class D,January,2016,135
Carabao,Class D,February,2016,90
Carabao,Class D,March,2016,97.5
Carabao,Class D,April,2016,97.5
Carabao,Class D,May,2016,82.5
Carabao,Class D,June,2016,82.5
Carabao,Class D,July,2016,92.5
Carabao,Class D,August,2016,127.5
Carabao,Class D,September,2016,157.5
Carabao,Class D,October,2016,185
Carabao,Class D,November,2016,140
Carabao,Class D,December,2016,135
Carabao,Class D,January,2017,112.5
Carabao,Class D,February,2017,100
Carabao,Class D,March,2017,115
Carabao,Class D,April,2017,105
Carabao,Class D,May,2017,105
Carabao,Class D,June,2017,90
Carabao,Class D,July,2017,101.25
Carabao,Class D,August,2017,120
Carabao,Class D,September,2017,127.5
Carabao,Class D,October,2017,125
Carabao,Class D,November,2017,135
Carabao,Class D,December,2017,150
Carabao,Class D,January,2018,170
Carabao,Class D,February,2018,170
Carabao,Class D,March,2018,170
Carabao,Class D,April,2018,120
Carabao,Class D,May,2018,120
Carabao,Class D,June,2018,102.5
Carabao,Class D,July,2018,102.5
Carabao,Class D,August,2018,102.5
Carabao,Class D,September,2018,102.5
Carabao,Class D,October,2018,137.5
Carabao,Class D,November,2018,157.5
Carabao,Class D,December,2018,137.5
Carabao,Class D,January,2019,130
Carabao,Class D,February,2019,125
Carabao,Class D,March,2019,122.5
Carabao,Class D,April,2019,125
Carabao,Class D,May,2019,105
Carabao,Class D,June,2019,85
Carabao,Class D,July,2019,135
Carabao,Class D,August,2019,187.5
Carabao,Class D,September,2019,212.5
Carabao,Class D,October,2019,162.5
Carabao,Class D,November,2019,177.5
Carabao,Class D,December,2019,152.5
Carabao,Class D,January,2020,152.5
Carabao,Class D,February,2020,150
Carabao,Class D,March,2020,152.5
Carabao,Class D,April,2020,160
Carabao,Class D,May,2020,148.75
Carabao,Class D,June,2020,105
Carabao,Class D,July,2020,132.5
Carabao,Class D,August,2020,143.75
Carabao,Class D,September,2020,157.5
Carabao,Class D,October,2020,157.5
Carabao,Class D,November,2020,150
Carabao,Class D,December,2020,162.5
Carabao,Class D,January,2021,225
Carabao,Class D,February,2021,170
Carabao,Class D,March,2021,155
Carabao,Class D,April,2021,151.25
Carabao,Class D,May,2021,145
Carabao,Class D,June,2021,110
Carabao,Class D,July,2021,152.5
Carabao,Class D,August,2021,180
Carabao,Class D,September,2021,180
Carabao,Class D,October,2021,180
Carabao,Class D,November,2021,177.5
Carabao,Class D,December,2021,180
Carabao,Class D,January,2022,180
Carabao,Class D,February,2022,180
Carabao,Class D,March,2022,142.5
Carabao,Class D,April,2022,125
Carabao,Class D,May,2022,122.5
Carabao,Class D,June,2022,135
Carabao,Class D,July,2022,200
Carabao,Class D,August,2022,205
Carabao,Class D,September,2022,220
Carabao,Class D,October,2022,190
Carabao,Class D,November,2022,180
Carabao,Class D,December,2022,180
Carabao,Class D,January,2023,180
Carabao,Class D,February,2023,180
Carabao,Class D,March,2023,185
Carabao,Class D,April,2023,180
Carabao,Class D,May,2023,155
Carabao,Class D,June,2023,152.5
Carabao,Class D,July,2023,170
Carabao,Class D,August,2023,152.5
Carabao,Class D,September,2023,280
Carabao,Class D,October,2023,212.5
Carabao,Class D,November,2023,185
Carabao,Class D,December,2023,185
Carabao,Class D,January,2024,185
Carabao,Class D,February,2024,180
Carabao,Class D,March,2024,157.5
Carabao,Class D,April,2024,150
Carabao,Class D,May,2024,105
Carabao,Class E,January,2014,70
Carabao,Class E,February,2014,70
Carabao,Class E,March,2014,70
Carabao,Class E,April,2014,70
Carabao,Class E,May,2014,60
Carabao,Class E,June,2014,60
Carabao,Class E,July,2014,80
Carabao,Class E,August,2014,100
Carabao,Class E,September,2014,100
Carabao,Class E,October,2014,100
Carabao,Class E,November,2014,100
Carabao,Class E,December,2014,100
Carabao,Class E,January,2015,90
Carabao,Class E,February,2015,90
Carabao,Class E,March,2015,90
Carabao,Class E,April,2015,70
Carabao,Class E,May,2015,50
Carabao,Class E,June,2015,50
Carabao,Class E,July,2015,50
Carabao,Class E,August,2015,80
Carabao,Class E,September,2015,120
Carabao,Class E,October,2015,120
Carabao,Class E,November,2015,120
Carabao,Class E,December,2015,120
Carabao,Class E,January,2016,120
Carabao,Class E,February,2016,80
Carabao,Class E,March,2016,90
Carabao,Class E,April,2016,90
Carabao,Class E,May,2016,80
Carabao,Class E,June,2016,80
Carabao,Class E,July,2016,90
Carabao,Class E,August,2016,120
Carabao,Class E,September,2016,150
Carabao,Class E,October,2016,180
Carabao,Class E,November,2016,120
Carabao,Class E,December,2016,120
Carabao,Class E,January,2017,90
Carabao,Class E,February,2017,100
Carabao,Class E,March,2017,100
Carabao,Class E,April,2017,100
Carabao,Class E,May,2017,95
Carabao,Class E,June,2017,90
Carabao,Class E,July,2017,95
Carabao,Class E,August,2017,120
Carabao,Class E,September,2017,120
Carabao,Class E,October,2017,120
Carabao,Class E,November,2017,120
Carabao,Class E,December,2017,140
Carabao,Class E,January,2018,160
Carabao,Class E,February,2018,160
Carabao,Class E,March,2018,160
Carabao,Class E,April,2018,120
Carabao,Class E,May,2018,120
Carabao,Class E,June,2018,100
Carabao,Class E,July,2018,100
Carabao,Class E,August,2018,100
Carabao,Class E,September,2018,100
Carabao,Class E,October,2018,130
Carabao,Class E,November,2018,150
Carabao,Class E,December,2018,130
Carabao,Class E,January,2019,120
Carabao,Class E,February,2019,120
Carabao,Class E,March,2019,120
Carabao,Class E,April,2019,120
Carabao,Class E,May,2019,100
Carabao,Class E,June,2019,80
Carabao,Class E,July,2019,100
Carabao,Class E,August,2019,170
Carabao,Class E,September,2019,200
Carabao,Class E,October,2019,150
Carabao,Class E,November,2019,170
Carabao,Class E,December,2019,150
Carabao,Class E,January,2020,150
Carabao,Class E,February,2020,150
Carabao,Class E,March,2020,150
Carabao,Class E,April,2020,160
Carabao,Class E,May,2020,145
Carabao,Class E,June,2020,100
Carabao,Class E,July,2020,130
Carabao,Class E,August,2020,140
Carabao,Class E,September,2020,150
Carabao,Class E,October,2020,150
Carabao,Class E,November,2020,150
Carabao,Class E,December,2020,150
Carabao,Class E,January,2021,200
Carabao,Class E,February,2021,160
Carabao,Class E,March,2021,150
Carabao,Class E,April,2021,150
Carabao,Class E,May,2021,140
Carabao,Class E,June,2021,100
Carabao,Class E,July,2021,150
Carabao,Class E,August,2021,180
Carabao,Class E,September,2021,180
Carabao,Class E,October,2021,180
Carabao,Class E,November,2021,170
Carabao,Class E,December,2021,180
Carabao,Class E,January,2022,180
Carabao,Class E,February,2022,180
Carabao,Class E,March,2022,140
Carabao,Class E,April,2022,120
Carabao,Class E,May,2022,120
Carabao,Class E,June,2022,120
Carabao,Class E,July,2022,200
Carabao,Class E,August,2022,200
Carabao,Class E,September,2022,220
