Type,Class,Month,Year,Price
Carabao,Class E,October,2022,180
Carabao,Class E,November,2022,180
Carabao,Class E,December,2022,180
Carabao,Class E,January,2023,180
Carabao,Class E,February,2023,180
Carabao,Class E,March,2023,180
Carabao,Class E,April,2023,180
Carabao,Class E,May,2023,150
Carabao,Class E,June,2023,150
Carabao,Class E,July,2023,160
Carabao,Class E,August,2023,150
Carabao,Class E,September,2023,280
Carabao,Class E,October,2023,190
Carabao,Class E,November,2023,180
Carabao,Class E,December,2023,180
Carabao,Class E,January,2024,180
Carabao,Class E,February,2024,180
Carabao,Class E,March,2024,150
Carabao,Class E,April,2024,150
Carabao,Class E,May,2024,100
Indian,Class A,January,2014,101
Indian,Class A,February,2014,79
Indian,Class A,March,2014,79
Indian,Class A,April,2014,79
Indian,Class A,May,2014,79
Indian,Class A,June,2014,90
Indian,Class A,July,2014,112
Indian,Class A,August,2014,112
Indian,Class A,September,2014,112
Indian,Class A,October,2014,135
Indian,Class A,November,2014,112
Indian,Class A,December,2014,112
Indian,Class A,January,2015,112
Indian,Class A,February,2015,112
Indian,Class A,March,2015,112
Indian,Class A,April,2015,90
Indian,Class A,May,2015,79
Indian,Class A,June,2015,56
Indian,Class A,July,2015,79
Indian,Class A,August,2015,135
Indian,Class A,September,2015,135
Indian,Class A,October,2015,168
Indian,Class A,November,2015,135
Indian,Class A,December,2015,135
Indian,Class A,January,2016,202
Indian,Class A,February,2016,135
Indian,Class A,March,2016,135
Indian,Class A,April,2016,135
Indian,Class A,May,2016,101
Indian,Class A,June,2016,101
Indian,Class A,July,2016,112
Indian,Class A,August,2016,168
Indian,Class A,September,2016,202
Indian,Class A,October,2016,225
Indian,Class A,November,2016,225
Indian,Class A,December,2016,202
Indian,Class A,January,2017,202
Indian,Class A,February,2017,112
Indian,Class A,March,2017,180
Indian,Class A,April,2017,135
Indian,Class A,May,2017,152
Indian,Class A,June,2017,101
Indian,Class A,July,2017,135
Indian,Class A,August,2017,135
Indian,Class A,September,2017,168
Indian,Class A,October,2017,157
Indian,Class A,November,2017,202
Indian,Class A,December,2017,202
Indian,Class A,January,2018,225
Indian,Class A,February,2018,225
Indian,Class A,March,2018,225
Indian,Class A,April,2018,135
Indian,Class A,May,2018,135
Indian,Class A,June,2018,124
Indian,Class A,July,2018,124
Indian,Class A,August,2018,124
Indian,Class A,September,2018,124
Indian,Class A,October,2018,180
Indian,Class A,November,2018,202
Indian,Class A,December,2018,180
Indian,Class A,January,2019,180
Indian,Class A,February,2019,157
Indian,Class A,March,2019,146
Indian,Class A,April,2019,157
Indian,Class A,May,2019,135
Indian,Class A,June,2019,112
Indian,Class A,July,2019,270
Indian,Class A,August,2019,270
Indian,Class A,September,2019,281
Indian,Class A,October,2019,225
Indian,Class A,November,2019,225
Indian,Class A,December,2019,180
Indian,Class A,January,2020,180
Indian,Class A,February,2020,168
Indian,Class A,March,2020,180
Indian,Class A,April,2020,180
Indian,Class A,May,2020,180
Indian,Class A,June,2020,135
Indian,Class A,July,2020,157
Indian,Class A,August,2020,174
Indian,Class A,September,2020,202
Indian,Class A,October,2020,202
Indian,Class A,November,2020,168
Indian,Class A,December,2020,225
Indian,Class A,January,2021,337
Indian,Class A,February,2021,225
Indian,Class A,March,2021,191
Indian,Class A,April,2021,174
Indian,Class A,May,2021,180
Indian,Class A,June,2021,112
Indian,Class A,July,2021,180
Indian,Class A,August,2021,202
Indian,Class A,September,2021,202
Indian,Class A,October,2021,202
Indian,Class A,November,2021,225
Indian,Class A,December,2021,202
Indian,Class A,January,2022,202
Indian,Class A,February,2022,202
Indian,Class A,March,2022,168
Indian,Class A,April,2022,157
Indian,Class A,May,2022,146
Indian,Class A,June,2022,202
Indian,Class A,July,2022,225
Indian,Class A,August,2022,225
Indian,Class A,September,2022,225
Indian,Class A,October,2022,247
Indian,Class A,November,2022,202
Indian,Class A,December,2022,202
Indian,Class A,January,2023,202
Indian,Class A,February,2023,202
Indian,Class A,March,2023,225
Indian,Class A,April,2023,202
Indian,Class A,May,2023,191
Indian,Class A,June,2023,180
Indian,Class A,July,2023,225
Indian,Class A,August,2023,168
Indian,Class A,September,2023,314
Indian,Class A,October,2023,314
Indian,Class A,November,2023,225
Indian,Class A,December,2023,225
Indian,Class A,January,2024,225
Indian,Class A,February,2024,202
Indian,Class A,March,2024,202
Indian,Class A,April,2024,168
Indian,Class A,May,2024,135
Indian,Class B,January,2014,95.5
Indian,Class B,February,2014,79
Indian,Class B,March,2014,79
Indian,Class B,April,2014,79
Indian,Class B,May,2014,76
Indian,Class B,June,2014,84.25
Indian,Class B,July,2014,106.5
Indian,Class B,August,2014,112
Indian,Class B,September,2014,112
Indian,Class B,October,2014,129.25
Indian,Class B,November,2014,112
Indian,Class B,December,2014,112
Indian,Class B,January,2015,109.25
Indian,Class B,February,2015,109.25
Indian,Class B,March,2015,109.25
Indian,Class B,April,2015,87.25
Indian,Class B,May,2015,73.25
Indian,Class B,June,2015,56
Indian,Class B,July,2015,73.25
Indian,Class B,August,2015,123.75
Indian,Class B,September,2015,135
Indian,Class B,October,2015,159.75
Indian,Class B,November,2015,135
Indian,Class B,December,2015,135
Indian,Class B,January,2016,185.25
Indian,Class B,February,2016,123.75
Indian,Class B,March,2016,123.75
Indian,Class B,April,2016,126.5
Indian,Class B,May,2016,98.25
Indian,Class B,June,2016,98.25
Indian,Class B,July,2016,109.25
Indian,Class B,August,2016,159.75
Indian,Class B,September,2016,193.5
Indian,Class B,October,2016,219.25
Indian,Class B,November,2016,202.5
Indian,Class B,December,2016,185.25
Indian,Class B,January,2017,176.75
Indian,Class B,February,2017,112
Indian,Class B,March,2017,163
Indian,Class B,April,2017,129.25
Indian,Class B,May,2017,140.75
Indian,Class B,June,2017,101
Indian,Class B,July,2017,128
Indian,Class B,August,2017,135
Indian,Class B,September,2017,159.75
Indian,Class B,October,2017,151.5
Indian,Class B,November,2017,185.25
Indian,Class B,December,2017,190.75
Indian,Class B,January,2018,213.75
Indian,Class B,February,2018,238.75
Indian,Class B,March,2018,213.75
Indian,Class B,April,2018,135
Indian,Class B,May,2018,135
Indian,Class B,June,2018,121
Indian,Class B,July,2018,121
Indian,Class B,August,2018,121
Indian,Class B,September,2018,121
Indian,Class B,October,2018,171.5
Indian,Class B,November,2018,193.5
Indian,Class B,December,2018,171.5
Indian,Class B,January,2019,168.75
Indian,Class B,February,2019,151.5
Indian,Class B,March,2019,143.25
Indian,Class B,April,2019,151.5
Indian,Class B,May,2019,129.25
Indian,Class B,June,2019,106.5
Indian,Class B,July,2019,230.5
Indian,Class B,August,2019,250.25
Indian,Class B,September,2019,267
Indian,Class B,October,2019,210.75
Indian,Class B,November,2019,216.5
Indian,Class B,December,2019,177
Indian,Class B,January,2020,177
Indian,Class B,February,2020,168
Indian,Class B,March,2020,177
Indian,Class B,April,2020,180
Indian,Class B,May,2020,175.5
Indian,Class B,June,2020,129.25
Indian,Class B,July,2020,154.25
Indian,Class B,August,2020,169.75
Indian,Class B,September,2020,193.5
Indian,Class B,October,2020,193.5
Indian,Class B,November,2020,168
Indian,Class B,December,2020,185.75
Indian,Class B,January,2021,309
Indian,Class B,February,2021,213.75
Indian,Class B,March,2021,185.25
Indian,Class B,April,2021,172.5
Indian,Class B,May,2021,174.25
Indian,Class B,June,2021,123.25
Indian,Class B,July,2021,177
Indian,Class B,August,2021,202
Indian,Class B,September,2021,202
Indian,Class B,October,2021,202
Indian,Class B,November,2021,216.5
Indian,Class B,December,2021,202
Indian,Class B,January,2022,202
Indian,Class B,February,2022,202
Indian,Class B,March,2022,165.25
Indian,Class B,April,2022,151.5
Indian,Class B,May,2022,143.25
Indian,Class B,June,2022,185.25
Indian,Class B,July,2022,225
Indian,Class B,August,2022,225
Indian,Class B,September,2022,225
Indian,Class B,October,2022,235.75
Indian,Class B,November,2022,202
Indian,Class B,December,2022,202
Indian,Class B,January,2023,202
Indian,Class B,February,2023,202
Indian,Class B,March,2023,219.25
Indian,Class B,April,2023,202
Indian,Class B,May,2023,185.25
Indian,Class B,June,2023,177
Indian,Class B,July,2023,213.75
Indian,Class B,August,2023,171
Indian,Class B,September,2023,314
Indian,Class B,October,2023,288.75
Indian,Class B,November,2023,219.25
Indian,Class B,December,2023,219.25
Indian,Class B,January,2024,219.25
Indian,Class B,February,2024,202
Indian,Class B,March,2024,218.5
Indian,Class B,April,2024,168
Indian,Class B,May,2024,129.25
Indian,Class C,January,2014,90
Indian,Class C,February,2014,79
Indian,Class C,March,2014,79
Indian,Class C,April,2014,79
Indian,Class C,May,2014,73
Indian,Class C,June,2014,78.5
Indian,Class C,July,2014,101
Indian,Class C,August,2014,112
Indian,Class C,September,2014,112
Indian,Class C,October,2014,123.5
Indian,Class C,November,2014,112
Indian,Class C,December,2014,112
Indian,Class C,January,2015,106.5
Indian,Class C,February,2015,106.5
Indian,Class C,March,2015,106.5
Indian,Class C,April,2015,84.5
Indian,Class C,May,2015,67.5
Indian,Class C,June,2015,56
Indian,Class C,July,2015,67.5
Indian,Class C,August,2015,112.5
Indian,Class C,September,2015,135
Indian,Class C,October,2015,151.5
Indian,Class C,November,2015,135
Indian,Class C,December,2015,135
Indian,Class C,January,2016,168.5
Indian,Class C,February,2016,112.5
Indian,Class C,March,2016,112.5
Indian,Class C,April,2016,118
Indian,Class C,May,2016,95.5
Indian,Class C,June,2016,95.5
Indian,Class C,July,2016,106.5
Indian,Class C,August,2016,151.5
Indian,Class C,September,2016,185
Indian,Class C,October,2016,213.5
Indian,Class C,November,2016,180
Indian,Class C,December,2016,168.5
Indian,Class C,January,2017,151.5
Indian,Class C,February,2017,112
Indian,Class C,March,2017,146
Indian,Class C,April,2017,123.5
Indian,Class C,May,2017,129.5
Indian,Class C,June,2017,101
Indian,Class C,July,2017,121
Indian,Class C,August,2017,135
Indian,Class C,September,2017,151.5
Indian,Class C,October,2017,146
Indian,Class C,November,2017,168.5
Indian,Class C,December,2017,179.5
Indian,Class C,January,2018,202.5
Indian,Class C,February,2018,252.5
Indian,Class C,March,2018,202.5
Indian,Class C,April,2018,135
Indian,Class C,May,2018,135
Indian,Class C,June,2018,118
Indian,Class C,July,2018,118
Indian,Class C,August,2018,118
Indian,Class C,September,2018,118
Indian,Class C,October,2018,163
Indian,Class C,November,2018,185
Indian,Class C,December,2018,163
Indian,Class C,January,2019,157.5
Indian,Class C,February,2019,146
Indian,Class C,March,2019,140.5
Indian,Class C,April,2019,146
Indian,Class C,May,2019,123.5
Indian,Class C,June,2019,101
Indian,Class C,July,2019,191
Indian,Class C,August,2019,230.5
Indian,Class C,September,2019,253
Indian,Class C,October,2019,196.5
Indian,Class C,November,2019,208
Indian,Class C,December,2019,174
Indian,Class C,January,2020,174
Indian,Class C,February,2020,168
Indian,Class C,March,2020,174
Indian,Class C,April,2020,180
Indian,Class C,May,2020,171
Indian,Class C,June,2020,123.5
Indian,Class C,July,2020,151.5
Indian,Class C,August,2020,165.5
Indian,Class C,September,2020,185
Indian,Class C,October,2020,185
Indian,Class C,November,2020,168
Indian,Class C,December,2020,146.5
Indian,Class C,January,2021,281
Indian,Class C,February,2021,202.5
Indian,Class C,March,2021,179.5
Indian,Class C,April,2021,171
Indian,Class C,May,2021,168.5
Indian,Class C,June,2021,134.5
Indian,Class C,July,2021,174
Indian,Class C,August,2021,202
Indian,Class C,September,2021,202
Indian,Class C,October,2021,202
Indian,Class C,November,2021,208
Indian,Class C,December,2021,202
Indian,Class C,January,2022,202
Indian,Class C,February,2022,202
Indian,Class C,March,2022,162.5
Indian,Class C,April,2022,146
Indian,Class C,May,2022,140.5
Indian,Class C,June,2022,168.5
Indian,Class C,July,2022,225
Indian,Class C,August,2022,225
Indian,Class C,September,2022,225
Indian,Class C,October,2022,224.5
Indian,Class C,November,2022,202
Indian,Class C,December,2022,202
Indian,Class C,January,2023,202
Indian,Class C,February,2023,202
Indian,Class C,March,2023,213.5
Indian,Class C,April,2023,202
Indian,Class C,May,2023,179.5
Indian,Class C,June,2023,174
Indian,Class C,July,2023,202.5
Indian,Class C,August,2023,174
Indian,Class C,September,2023,314
Indian,Class C,October,2023,263.5
Indian,Class C,November,2023,213.5
Indian,Class C,December,2023,213.5
Indian,Class C,January,2024,213.5
Indian,Class C,February,2024,202
Indian,Class C,March,2024,235
Indian,Class C,April,2024,168
Indian,Class C,May,2024,123.5
Indian,Class D,January,2014,84.5
Indian,Class D,February,2014,79
Indian,Class D,March,2014,79
Indian,Class D,April,2014,79
Indian,Class D,May,2014,70
Indian,Class D,June,2014,72.75
Indian,Class D,July,2014,95.5
Indian,Class D,August,2014,112
Indian,Class D,September,2014,112
Indian,Class D,October,2014,117.75
Indian,Class D,November,2014,112
Indian,Class D,December,2014,112
Indian,Class D,January,2015,103.75
Indian,Class D,February,2015,103.75
Indian,Class D,March,2015,103.75
Indian,Class D,April,2015,81.75
Indian,Class D,May,2015,61.75
Indian,Class D,June,2015,56
Indian,Class D,July,2015,61.75
Indian,Class D,August,2015,101.25
Indian,Class D,September,2015,135
Indian,Class D,October,2015,143.25
Indian,Class D,November,2015,135
Indian,Class D,December,2015,135
Indian,Class D,January,2016,151.75
Indian,Class D,February,2016,101.25
Indian,Class D,March,2016,101.25
Indian,Class D,April,2016,109.5
Indian,Class D,May,2016,92.75
Indian,Class D,June,2016,92.75
Indian,Class D,July,2016,103.75
Indian,Class D,August,2016,143.25
Indian,Class D,September,2016,176.5
Indian,Class D,October,2016,207.75
Indian,Class D,November,2016,157.5
Indian,Class D,December,2016,151.75
Indian,Class D,January,2017,126.25
Indian,Class D,February,2017,112
Indian,Class D,March,2017,129
Indian,Class D,April,2017,117.75
Indian,Class D,May,2017,118.25
Indian,Class D,June,2017,101
Indian,Class D,July,2017,114
Indian,Class D,August,2017,135
Indian,Class D,September,2017,143.25
Indian,Class D,October,2017,140.5
Indian,Class D,November,2017,151.75
Indian,Class D,December,2017,168.25
Indian,Class D,January,2018,191.25
Indian,Class D,February,2018,266.25
Indian,Class D,March,2018,191.25
Indian,Class D,April,2018,135
Indian,Class D,May,2018,135
Indian,Class D,June,2018,115
Indian,Class D,July,2018,115
Indian,Class D,August,2018,115
Indian,Class D,September,2018,115
Indian,Class D,October,2018,154.5
Indian,Class D,November,2018,176.5
Indian,Class D,December,2018,154.5
Indian,Class D,January,2019,146.25
Indian,Class D,February,2019,140.5
Indian,Class D,March,2019,137.75
Indian,Class D,April,2019,140.5
Indian,Class D,May,2019,117.75
Indian,Class D,June,2019,95.5
Indian,Class D,July,2019,151.5
Indian,Class D,August,2019,210.75
Indian,Class D,September,2019,239
Indian,Class D,October,2019,182.25
Indian,Class D,November,2019,199.5
Indian,Class D,December,2019,171
Indian,Class D,January,2020,171
Indian,Class D,February,2020,168
Indian,Class D,March,2020,171
Indian,Class D,April,2020,180
Indian,Class D,May,2020,166.5
Indian,Class D,June,2020,117.75
Indian,Class D,July,2020,148.75
Indian,Class D,August,2020,161.25
Indian,Class D,September,2020,176.5
Indian,Class D,October,2020,176.5
Indian,Class D,November,2020,168
Indian,Class D,December,2020,107.25
Indian,Class D,January,2021,253
Indian,Class D,February,2021,191.25
Indian,Class D,March,2021,173.75
Indian,Class D,April,2021,169.5
Indian,Class D,May,2021,162.75
Indian,Class D,June,2021,145.75
Indian,Class D,July,2021,171
Indian,Class D,August,2021,202
Indian,Class D,September,2021,202
Indian,Class D,October,2021,202
Indian,Class D,November,2021,199.5
Indian,Class D,December,2021,202
Indian,Class D,January,2022,202
Indian,Class D,February,2022,202
Indian,Class D,March,2022,159.75
Indian,Class D,April,2022,140.5
Indian,Class D,May,2022,137.75
Indian,Class D,June,2022,151.75
Indian,Class D,July,2022,225
Indian,Class D,August,2022,225
Indian,Class D,September,2022,225
Indian,Class D,October,2022,213.25
Indian,Class D,November,2022,202
Indian,Class D,December,2022,202
Indian,Class D,January,2023,202
Indian,Class D,February,2023,202
Indian,Class D,March,2023,207.75
Indian,Class D,April,2023,202
Indian,Class D,May,2023,173.75
Indian,Class D,June,2023,171
Indian,Class D,July,2023,191.25
Indian,Class D,August,2023,177
Indian,Class D,September,2023,314
Indian,Class D,October,2023,238.25
Indian,Class D,November,2023,207.75
Indian,Class D,December,2023,207.75
Indian,Class D,January,2024,207.75
Indian,Class D,February,2024,202
Indian,Class D,March,2024,251.5
Indian,Class D,April,2024,168
Indian,Class D,May,2024,117.75
Indian,Class E,January,2014,79
Indian,Class E,February,2014,79
Indian,Class E,March,2014,79
Indian,Class E,April,2014,79
Indian,Class E,May,2014,67
Indian,Class E,June,2014,67
Indian,Class E,July,2014,90
Indian,Class E,August,2014,112
Indian,Class E,September,2014,112
Indian,Class E,October,2014,112
Indian,Class E,November,2014,112
Indian,Class E,December,2014,112
Indian,Class E,January,2015,101
Indian,Class E,February,2015,101
Indian,Class E,March,2015,101
Indian,Class E,April,2015,79
Indian,Class E,May,2015,56
Indian,Class E,June,2015,56
Indian,Class E,July,2015,56
Indian,Class E,August,2015,90
Indian,Class E,September,2015,135
Indian,Class E,October,2015,135
Indian,Class E,November,2015,135
Indian,Class E,December,2015,135
Indian,Class E,January,2016,135
Indian,Class E,February,2016,90
Indian,Class E,March,2016,90
Indian,Class E,April,2016,101
Indian,Class E,May,2016,90
Indian,Class E,June,2016,90
Indian,Class E,July,2016,101
Indian,Class E,August,2016,135
Indian,Class E,September,2016,168
Indian,Class E,October,2016,202
Indian,Class E,November,2016,135
Indian,Class E,December,2016,135
Indian,Class E,January,2017,101
Indian,Class E,February,2017,112
Indian,Class E,March,2017,112
Indian,Class E,April,2017,112
Indian,Class E,May,2017,107
Indian,Class E,June,2017,101
Indian,Class E,July,2017,107
Indian,Class E,August,2017,135
Indian,Class E,September,2017,135
Indian,Class E,October,2017,135
Indian,Class E,November,2017,135
Indian,Class E,December,2017,157
Indian,Class E,January,2018,180
Indian,Class E,February,2018,280
Indian,Class E,March,2018,180
Indian,Class E,April,2018,135
Indian,Class E,May,2018,135
Indian,Class E,June,2018,112
Indian,Class E,July,2018,112
Indian,Class E,August,2018,112
Indian,Class E,September,2018,112
Indian,Class E,October,2018,146
Indian,Class E,November,2018,168
Indian,Class E,December,2018,146
Indian,Class E,January,2019,135
Indian,Class E,February,2019,135
Indian,Class E,March,2019,135
Indian,Class E,April,2019,135
Indian,Class E,May,2019,112
Indian,Class E,June,2019,90
Indian,Class E,July,2019,112
Indian,Class E,August,2019,191
Indian,Class E,September,2019,225
Indian,Class E,October,2019,168
Indian,Class E,November,2019,191
Indian,Class E,December,2019,168
Indian,Class E,January,2020,168
Indian,Class E,February,2020,168
Indian,Class E,March,2020,168
Indian,Class E,April,2020,180
Indian,Class E,May,2020,162
Indian,Class E,June,2020,112
Indian,Class E,July,2020,146
Indian,Class E,August,2020,157
Indian,Class E,September,2020,168
Indian,Class E,October,2020,168
Indian,Class E,November,2020,168
Indian,Class E,December,2020,68
Indian,Class E,January,2021,225
Indian,Class E,February,2021,180
Indian,Class E,March,2021,168
Indian,Class E,April,2021,168
Indian,Class E,May,2021,157
Indian,Class E,June,2021,157
Indian,Class E,July,2021,168
Indian,Class E,August,2021,202
Indian,Class E,September,2021,202
Indian,Class E,October,2021,202
