Type,Class,Month,Year,Price
Indian,Class E,November,2021,191
Indian,Class E,December,2021,202
Indian,Class E,January,2022,202
Indian,Class E,February,2022,202
Indian,Class E,March,2022,157
Indian,Class E,April,2022,135
Indian,Class E,May,2022,135
Indian,Class E,June,2022,135
Indian,Class E,July,2022,225
Indian,Class E,August,2022,225
Indian,Class E,September,2022,225
Indian,Class E,October,2022,202
Indian,Class E,November,2022,202
Indian,Class E,December,2022,202
Indian,Class E,January,2023,202
Indian,Class E,February,2023,202
Indian,Class E,March,2023,202
Indian,Class E,April,2023,202
Indian,Class E,May,2023,168
Indian,Class E,June,2023,168
Indian,Class E,July,2023,180
Indian,Class E,August,2023,180
Indian,Class E,September,2023,314
Indian,Class E,October,2023,213
Indian,Class E,November,2023,202
Indian,Class E,December,2023,202
Indian,Class E,January,2024,202
Indian,Class E,February,2024,202
Indian,Class E,March,2024,268
Indian,Class E,April,2024,168
Indian,Class E,May,2024,112
Pico,Class A,January,2014,105
Pico,Class A,February,2014,82
Pico,Class A,March,2014,82
Pico,Class A,April,2014,82
Pico,Class A,May,2014,82
Pico,Class A,June,2014,93
Pico,Class A,July,2014,117
Pico,Class A,August,2014,117
Pico,Class A,September,2014,117
Pico,Class A,October,2014,140
Pico,Class A,November,2014,117
Pico,Class A,December,2014,117
Pico,Class A,January,2015,117
Pico,Class A,February,2015,117
Pico,Class A,March,2015,117
Pico,Class A,April,2015,93
Pico,Class A,May,2015,82
Pico,Class A,June,2015,58
Pico,Class A,July,2015,82
Pico,Class A,August,2015,140
Pico,Class A,September,2015,140
Pico,Class A,October,2015,175
Pico,Class A,November,2015,140
Pico,Class A,December,2015,140
Pico,Class A,January,2016,210
Pico,Class A,February,2016,140
Pico,Class A,March,2016,140
Pico,Class A,April,2016,140
Pico,Class A,May,2016,105
Pico,Class A,June,2016,105
Pico,Class A,July,2016,117
Pico,Class A,August,2016,175
Pico,Class A,September,2016,210
Pico,Class A,October,2016,233
Pico,Class A,November,2016,233
Pico,Class A,December,2016,210
Pico,Class A,January,2017,245
Pico,Class A,February,2017,117
Pico,Class A,March,2017,187
Pico,Class A,April,2017,140
Pico,Class A,May,2017,157
Pico,Class A,June,2017,105
Pico,Class A,July,2017,140
Pico,Class A,August,2017,140
Pico,Class A,September,2017,175
Pico,Class A,October,2017,163
Pico,Class A,November,2017,245
Pico,Class A,December,2017,245
Pico,Class A,January,2018,233
Pico,Class A,February,2018,233
Pico,Class A,March,2018,233
Pico,Class A,April,2018,140
Pico,Class A,May,2018,140
Pico,Class A,June,2018,128
Pico,Class A,July,2018,128
Pico,Class A,August,2018,128
Pico,Class A,September,2018,128
Pico,Class A,October,2018,187
Pico,Class A,November,2018,245
Pico,Class A,December,2018,187
Pico,Class A,January,2019,187
Pico,Class A,February,2019,163
Pico,Class A,March,2019,152
Pico,Class A,April,2019,163
Pico,Class A,May,2019,140
Pico,Class A,June,2019,117
Pico,Class A,July,2019,280
Pico,Class A,August,2019,280
Pico,Class A,September,2019,292
Pico,Class A,October,2019,233
Pico,Class A,November,2019,233
Pico,Class A,December,2019,187
Pico,Class A,January,2020,187
Pico,Class A,February,2020,175
Pico,Class A,March,2020,187
Pico,Class A,April,2020,187
Pico,Class A,May,2020,187
Pico,Class A,June,2020,140
Pico,Class A,July,2020,163
Pico,Class A,August,2020,181
Pico,Class A,September,2020,210
Pico,Class A,October,2020,210
Pico,Class A,November,2020,175
Pico,Class A,December,2020,233
Pico,Class A,January,2021,350
Pico,Class A,February,2021,233
Pico,Class A,March,2021,198
Pico,Class A,April,2021,181
Pico,Class A,May,2021,187
Pico,Class A,June,2021,163
Pico,Class A,July,2021,187
Pico,Class A,August,2021,210
Pico,Class A,September,2021,210
Pico,Class A,October,2021,210
Pico,Class A,November,2021,233
Pico,Class A,December,2021,210
Pico,Class A,January,2022,210
Pico,Class A,February,2022,210
Pico,Class A,March,2022,175
Pico,Class A,April,2022,163
Pico,Class A,May,2022,151
Pico,Class A,June,2022,210
Pico,Class A,July,2022,233
Pico,Class A,August,2022,257
Pico,Class A,September,2022,257
Pico,Class A,October,2022,257
Pico,Class A,November,2022,210
Pico,Class A,December,2022,210
Pico,Class A,January,2023,210
Pico,Class A,February,2023,210
Pico,Class A,March,2023,233
Pico,Class A,April,2023,210
Pico,Class A,May,2023,198
Pico,Class A,June,2023,187
Pico,Class A,July,2023,233
Pico,Class A,August,2023,187
Pico,Class A,September,2023,327
Pico,Class A,October,2023,327
Pico,Class A,November,2023,233
Pico,Class A,December,2023,233
Pico,Class A,January,2024,233
Pico,Class A,February,2024,210
Pico,Class A,March,2024,210
Pico,Class A,April,2024,175
Pico,Class A,May,2024,140
Pico,Class B,January,2014,99.25
Pico,Class B,February,2014,82
Pico,Class B,March,2014,82
Pico,Class B,April,2014,82
Pico,Class B,May,2014,79
Pico,Class B,June,2014,87.25
Pico,Class B,July,2014,111
Pico,Class B,August,2014,117
Pico,Class B,September,2014,117
Pico,Class B,October,2014,134.25
Pico,Class B,November,2014,117
Pico,Class B,December,2014,117
Pico,Class B,January,2015,114
Pico,Class B,February,2015,114
Pico,Class B,March,2015,114
Pico,Class B,April,2015,90.25
Pico,Class B,May,2015,76
Pico,Class B,June,2015,58
Pico,Class B,July,2015,76
Pico,Class B,August,2015,128.25
Pico,Class B,September,2015,140
Pico,Class B,October,2015,166.25
Pico,Class B,November,2015,140
Pico,Class B,December,2015,140
Pico,Class B,January,2016,192.5
Pico,Class B,February,2016,128.25
Pico,Class B,March,2016,128.25
Pico,Class B,April,2016,131.25
Pico,Class B,May,2016,102
Pico,Class B,June,2016,102
Pico,Class B,July,2016,114
Pico,Class B,August,2016,166.25
Pico,Class B,September,2016,201.25
Pico,Class B,October,2016,227.25
Pico,Class B,November,2016,209.75
Pico,Class B,December,2016,192.5
Pico,Class B,January,2017,210
Pico,Class B,February,2017,117
Pico,Class B,March,2017,169.5
Pico,Class B,April,2017,134.25
Pico,Class B,May,2017,145.5
Pico,Class B,June,2017,105
Pico,Class B,July,2017,132.75
Pico,Class B,August,2017,140
Pico,Class B,September,2017,166.25
Pico,Class B,October,2017,157.25
Pico,Class B,November,2017,218.75
Pico,Class B,December,2017,224.5
Pico,Class B,January,2018,221.5
Pico,Class B,February,2018,221.5
Pico,Class B,March,2018,221.5
Pico,Class B,April,2018,140
Pico,Class B,May,2018,140
Pico,Class B,June,2018,125.25
Pico,Class B,July,2018,125.25
Pico,Class B,August,2018,125.25
Pico,Class B,September,2018,125.25
Pico,Class B,October,2018,178.25
Pico,Class B,November,2018,227.5
Pico,Class B,December,2018,178.25
Pico,Class B,January,2019,175.25
Pico,Class B,February,2019,157.25
Pico,Class B,March,2019,149
Pico,Class B,April,2019,157.25
Pico,Class B,May,2019,134.25
Pico,Class B,June,2019,111.25
Pico,Class B,July,2019,245
Pico,Class B,August,2019,259.5
Pico,Class B,September,2019,277.25
Pico,Class B,October,2019,218.5
Pico,Class B,November,2019,224.25
Pico,Class B,December,2019,184
Pico,Class B,January,2020,184
Pico,Class B,February,2020,175
Pico,Class B,March,2020,184
Pico,Class B,April,2020,187
Pico,Class B,May,2020,182.5
Pico,Class B,June,2020,134.25
Pico,Class B,July,2020,160.25
Pico,Class B,August,2020,176.5
Pico,Class B,September,2020,201.25
Pico,Class B,October,2020,201.25
Pico,Class B,November,2020,175
Pico,Class B,December,2020,218.5
Pico,Class B,January,2021,320.75
Pico,Class B,February,2021,221.5
Pico,Class B,March,2021,192.25
Pico,Class B,April,2021,179.5
Pico,Class B,May,2021,181
Pico,Class B,June,2021,151.5
Pico,Class B,July,2021,184
Pico,Class B,August,2021,210
Pico,Class B,September,2021,210
Pico,Class B,October,2021,210
Pico,Class B,November,2021,224.25
Pico,Class B,December,2021,210
Pico,Class B,January,2022,210
Pico,Class B,February,2022,210
Pico,Class B,March,2022,172
Pico,Class B,April,2022,157.25
Pico,Class B,May,2022,148.25
Pico,Class B,June,2022,192.5
Pico,Class B,July,2022,233
Pico,Class B,August,2022,251
Pico,Class B,September,2022,257
Pico,Class B,October,2022,245.25
Pico,Class B,November,2022,210
Pico,Class B,December,2022,210
Pico,Class B,January,2023,210
Pico,Class B,February,2023,210
Pico,Class B,March,2023,227.25
Pico,Class B,April,2023,210
Pico,Class B,May,2023,192.25
Pico,Class B,June,2023,184
Pico,Class B,July,2023,221.5
Pico,Class B,August,2023,184
Pico,Class B,September,2023,327
Pico,Class B,October,2023,300.75
Pico,Class B,November,2023,227.25
Pico,Class B,December,2023,227.25
Pico,Class B,January,2024,227.25
Pico,Class B,February,2024,210
Pico,Class B,March,2024,201.25
Pico,Class B,April,2024,175
Pico,Class B,May,2024,134.25
Pico,Class C,January,2014,93.5
Pico,Class C,February,2014,82
Pico,Class C,March,2014,82
Pico,Class C,April,2014,82
Pico,Class C,May,2014,76
Pico,Class C,June,2014,81.5
Pico,Class C,July,2014,105
Pico,Class C,August,2014,117
Pico,Class C,September,2014,117
Pico,Class C,October,2014,128.5
Pico,Class C,November,2014,117
Pico,Class C,December,2014,117
Pico,Class C,January,2015,111
Pico,Class C,February,2015,111
Pico,Class C,March,2015,111
Pico,Class C,April,2015,87.5
Pico,Class C,May,2015,70
Pico,Class C,June,2015,58
Pico,Class C,July,2015,70
Pico,Class C,August,2015,116.5
Pico,Class C,September,2015,140
Pico,Class C,October,2015,157.5
Pico,Class C,November,2015,140
Pico,Class C,December,2015,140
Pico,Class C,January,2016,175
Pico,Class C,February,2016,116.5
Pico,Class C,March,2016,116.5
Pico,Class C,April,2016,122.5
Pico,Class C,May,2016,99
Pico,Class C,June,2016,99
Pico,Class C,July,2016,111
Pico,Class C,August,2016,157.5
Pico,Class C,September,2016,192.5
Pico,Class C,October,2016,221.5
Pico,Class C,November,2016,186.5
Pico,Class C,December,2016,175
Pico,Class C,January,2017,175
Pico,Class C,February,2017,117
Pico,Class C,March,2017,152
Pico,Class C,April,2017,128.5
Pico,Class C,May,2017,134
Pico,Class C,June,2017,105
Pico,Class C,July,2017,125.5
Pico,Class C,August,2017,140
Pico,Class C,September,2017,157.5
Pico,Class C,October,2017,151.5
Pico,Class C,November,2017,192.5
Pico,Class C,December,2017,204
Pico,Class C,January,2018,210
Pico,Class C,February,2018,210
Pico,Class C,March,2018,210
Pico,Class C,April,2018,140
Pico,Class C,May,2018,140
Pico,Class C,June,2018,122.5
Pico,Class C,July,2018,122.5
Pico,Class C,August,2018,122.5
Pico,Class C,September,2018,122.5
Pico,Class C,October,2018,169.5
Pico,Class C,November,2018,210
Pico,Class C,December,2018,169.5
Pico,Class C,January,2019,163.5
Pico,Class C,February,2019,151.5
Pico,Class C,March,2019,146
Pico,Class C,April,2019,151.5
Pico,Class C,May,2019,128.5
Pico,Class C,June,2019,105.5
Pico,Class C,July,2019,210
Pico,Class C,August,2019,239
Pico,Class C,September,2019,262.5
Pico,Class C,October,2019,204
Pico,Class C,November,2019,215.5
Pico,Class C,December,2019,181
Pico,Class C,January,2020,181
Pico,Class C,February,2020,175
Pico,Class C,March,2020,181
Pico,Class C,April,2020,187
Pico,Class C,May,2020,178
Pico,Class C,June,2020,128.5
Pico,Class C,July,2020,157.5
Pico,Class C,August,2020,172
Pico,Class C,September,2020,192.5
Pico,Class C,October,2020,192.5
Pico,Class C,November,2020,175
Pico,Class C,December,2020,204
Pico,Class C,January,2021,291.5
Pico,Class C,February,2021,210
Pico,Class C,March,2021,186.5
Pico,Class C,April,2021,178
Pico,Class C,May,2021,175
Pico,Class C,June,2021,140
Pico,Class C,July,2021,181
Pico,Class C,August,2021,210
Pico,Class C,September,2021,210
Pico,Class C,October,2021,210
Pico,Class C,November,2021,215.5
Pico,Class C,December,2021,210
Pico,Class C,January,2022,210
Pico,Class C,February,2022,210
Pico,Class C,March,2022,169
Pico,Class C,April,2022,151.5
Pico,Class C,May,2022,145.5
Pico,Class C,June,2022,175
Pico,Class C,July,2022,233
Pico,Class C,August,2022,245
Pico,Class C,September,2022,257
Pico,Class C,October,2022,233.5
Pico,Class C,November,2022,210
Pico,Class C,December,2022,210
Pico,Class C,January,2023,210
Pico,Class C,February,2023,210
Pico,Class C,March,2023,221.5
Pico,Class C,April,2023,210
Pico,Class C,May,2023,186.5
Pico,Class C,June,2023,181
Pico,Class C,July,2023,210
Pico,Class C,August,2023,181
Pico,Class C,September,2023,327
Pico,Class C,October,2023,274.5
Pico,Class C,November,2023,221.5
Pico,Class C,December,2023,221.5
Pico,Class C,January,2024,221.5
Pico,Class C,February,2024,210
Pico,Class C,March,2024,192.5
Pico,Class C,April,2024,175
Pico,Class C,May,2024,128.5
Pico,Class D,January,2014,87.75
Pico,Class D,February,2014,82
Pico,Class D,March,2014,82
Pico,Class D,April,2014,82
Pico,Class D,May,2014,73
Pico,Class D,June,2014,75.75
Pico,Class D,July,2014,99
Pico,Class D,August,2014,117
Pico,Class D,September,2014,117
Pico,Class D,October,2014,122.75
Pico,Class D,November,2014,117
Pico,Class D,December,2014,117
Pico,Class D,January,2015,108
Pico,Class D,February,2015,108
Pico,Class D,March,2015,108
Pico,Class D,April,2015,84.75
Pico,Class D,May,2015,64
Pico,Class D,June,2015,58
Pico,Class D,July,2015,64
Pico,Class D,August,2015,104.75
Pico,Class D,September,2015,140
Pico,Class D,October,2015,148.75
Pico,Class D,November,2015,140
Pico,Class D,December,2015,140
Pico,Class D,January,2016,157.5
Pico,Class D,February,2016,104.75
Pico,Class D,March,2016,104.75
Pico,Class D,April,2016,113.75
Pico,Class D,May,2016,96
Pico,Class D,June,2016,96
Pico,Class D,July,2016,108
Pico,Class D,August,2016,148.75
Pico,Class D,September,2016,183.75
Pico,Class D,October,2016,215.75
Pico,Class D,November,2016,163.25
Pico,Class D,December,2016,157.5
Pico,Class D,January,2017,140
Pico,Class D,February,2017,117
Pico,Class D,March,2017,134.5
Pico,Class D,April,2017,122.75
Pico,Class D,May,2017,122.5
Pico,Class D,June,2017,105
Pico,Class D,July,2017,118.25
Pico,Class D,August,2017,140
Pico,Class D,September,2017,148.75
Pico,Class D,October,2017,145.75
Pico,Class D,November,2017,166.25
Pico,Class D,December,2017,183.5
Pico,Class D,January,2018,198.5
Pico,Class D,February,2018,198.5
Pico,Class D,March,2018,198.5
Pico,Class D,April,2018,140
Pico,Class D,May,2018,140
Pico,Class D,June,2018,119.75
Pico,Class D,July,2018,119.75
Pico,Class D,August,2018,119.75
Pico,Class D,September,2018,119.75
Pico,Class D,October,2018,160.75
Pico,Class D,November,2018,192.5
Pico,Class D,December,2018,160.75
Pico,Class D,January,2019,151.75
Pico,Class D,February,2019,145.75
Pico,Class D,March,2019,143
Pico,Class D,April,2019,145.75
Pico,Class D,May,2019,122.75
Pico,Class D,June,2019,99.75
Pico,Class D,July,2019,175
Pico,Class D,August,2019,218.5
Pico,Class D,September,2019,247.75
Pico,Class D,October,2019,189.5
Pico,Class D,November,2019,206.75
Pico,Class D,December,2019,178
Pico,Class D,January,2020,178
Pico,Class D,February,2020,175
Pico,Class D,March,2020,178
Pico,Class D,April,2020,187
Pico,Class D,May,2020,173.5
Pico,Class D,June,2020,122.75
Pico,Class D,July,2020,154.75
Pico,Class D,August,2020,167.5
Pico,Class D,September,2020,183.75
Pico,Class D,October,2020,183.75
Pico,Class D,November,2020,175
Pico,Class D,December,2020,189.5
Pico,Class D,January,2021,262.25
Pico,Class D,February,2021,198.5
Pico,Class D,March,2021,180.75
Pico,Class D,April,2021,176.5
Pico,Class D,May,2021,169
Pico,Class D,June,2021,128.5
Pico,Class D,July,2021,178
Pico,Class D,August,2021,210
Pico,Class D,September,2021,210
Pico,Class D,October,2021,210
Pico,Class D,November,2021,206.75
Pico,Class D,December,2021,210
Pico,Class D,January,2022,210
Pico,Class D,February,2022,210
Pico,Class D,March,2022,166
Pico,Class D,April,2022,145.75
Pico,Class D,May,2022,142.75
Pico,Class D,June,2022,157.5
Pico,Class D,July,2022,233
Pico,Class D,August,2022,239
Pico,Class D,September,2022,257
Pico,Class D,October,2022,221.75
Pico,Class D,November,2022,210
Pico,Class D,December,2022,210
Pico,Class D,January,2023,210
Pico,Class D,February,2023,210
Pico,Class D,March,2023,215.75
Pico,Class D,April,2023,210
Pico,Class D,May,2023,180.75
Pico,Class D,June,2023,178
Pico,Class D,July,2023,198.5
Pico,Class D,August,2023,178
Pico,Class D,September,2023,327
Pico,Class D,October,2023,248.25
Pico,Class D,November,2023,215.75
Pico,Class D,December,2023,215.75
Pico,Class D,January,2024,215.75
Pico,Class D,February,2024,210
Pico,Class D,March,2024,183.75
Pico,Class D,April,2024,175
Pico,Class D,May,2024,122.75
Pico,Class E,January,2014,82
Pico,Class E,February,2014,82
Pico,Class E,March,2014,82
Pico,Class E,April,2014,82
Pico,Class E,May,2014,70
Pico,Class E,June,2014,70
Pico,Class E,July,2014,93
Pico,Class E,August,2014,117
Pico,Class E,September,2014,117
Pico,Class E,October,2014,117
Pico,Class E,November,2014,117
Pico,Class E,December,2014,117
Pico,Class E,January,2015,105
Pico,Class E,February,2015,105
Pico,Class E,March,2015,105
Pico,Class E,April,2015,82
Pico,Class E,May,2015,58
Pico,Class E,June,2015,58
Pico,Class E,July,2015,58
Pico,Class E,August,2015,93
Pico,Class E,September,2015,140
Pico,Class E,October,2015,140
Pico,Class E,November,2015,140
Pico,Class E,December,2015,140
Pico,Class E,January,2016,140
Pico,Class E,February,2016,93
Pico,Class E,March,2016,93
Pico,Class E,April,2016,105
Pico,Class E,May,2016,93
Pico,Class E,June,2016,93
Pico,Class E,July,2016,105
Pico,Class E,August,2016,140
Pico,Class E,September,2016,175
Pico,Class E,October,2016,210
Pico,Class E,November,2016,140
Pico,Class E,December,2016,140
Pico,Class E,January,2017,105
Pico,Class E,February,2017,117
Pico,Class E,March,2017,117
Pico,Class E,April,2017,117
Pico,Class E,May,2017,111
Pico,Class E,June,2017,105
Pico,Class E,July,2017,111
Pico,Class E,August,2017,140
Pico,Class E,September,2017,140
Pico,Class E,October,2017,140
Pico,Class E,November,2017,140
Pico,Class E,December,2017,163
Pico,Class E,January,2018,187
Pico,Class E,February,2018,187
Pico,Class E,March,2018,187
Pico,Class E,April,2018,140
Pico,Class E,May,2018,140
Pico,Class E,June,2018,117
Pico,Class E,July,2018,117
Pico,Class E,August,2018,117
Pico,Class E,September,2018,117
Pico,Class E,October,2018,152
Pico,Class E,November,2018,175
Pico,Class E,December,2018,152
Pico,Class E,January,2019,140
Pico,Class E,February,2019,140
Pico,Class E,March,2019,140
Pico,Class E,April,2019,140
Pico,Class E,May,2019,117
Pico,Class E,June,2019,94
Pico,Class E,July,2019,140
Pico,Class E,August,2019,198
Pico,Class E,September,2019,233
Pico,Class E,October,2019,175
Pico,Class E,November,2019,198
Pico,Class E,December,2019,175
Pico,Class E,January,2020,175
Pico,Class E,February,2020,175
Pico,Class E,March,2020,175
Pico,Class E,April,2020,187
Pico,Class E,May,2020,169
Pico,Class E,June,2020,117
Pico,Class E,July,2020,152
Pico,Class E,August,2020,163
Pico,Class E,September,2020,175
Pico,Class E,October,2020,175
Pico,Class E,November,2020,175
Pico,Class E,December,2020,175
Pico,Class E,January,2021,233
Pico,Class E,February,2021,187
Pico,Class E,March,2021,175
Pico,Class E,April,2021,175
Pico,Class E,May,2021,163
Pico,Class E,June,2021,117
Pico,Class E,July,2021,175
Pico,Class E,August,2021,210
Pico,Class E,September,2021,210
Pico,Class E,October,2021,210
Pico,Class E,November,2021,198
Pico,Class E,December,2021,210
Pico,Class E,January,2022,210
Pico,Class E,February,2022,210
Pico,Class E,March,2022,163
Pico,Class E,April,2022,140
Pico,Class E,May,2022,140
Pico,Class E,June,2022,140
Pico,Class E,July,2022,233
Pico,Class E,August,2022,233
Pico,Class E,September,2022,257
Pico,Class E,October,2022,210
Pico,Class E,November,2022,210
Pico,Class E,December,2022,210
Pico,Class E,January,2023,210
Pico,Class E,February,2023,210
Pico,Class E,March,2023,210
Pico,Class E,April,2023,210
Pico,Class E,May,2023,175
Pico,Class E,June,2023,175
Pico,Class E,July,2023,187
Pico,Class E,August,2023,175
Pico,Class E,September,2023,327
Pico,Class E,October,2023,222
Pico,Class E,November,2023,210
Pico,Class E,December,2023,210
Pico,Class E,January,2024,210
Pico,Class E,February,2024,210
Pico,Class E,March,2024,175
Pico,Class E,April,2024,175
Pico,Class E,May,2024,117
